Authority,Code,Keyword,Value,Keyword,Value,Keyword,Value,Keyword,Value,Keyword,Value,Keyword,Value
EPSG,32644,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),44,Hemisphere,N,Override,Off,,
EPSG,32645,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),45,Hemisphere,N,Override,Off,,
EPSG,32646,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),46,Hemisphere,N,Override,Off,,
EPSG,32647,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),47,Hemisphere,N,Override,Off,,
EPSG,32648,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),48,Hemisphere,N,Override,Off,,
EPSG,32649,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),49,Hemisphere,N,Override,Off,,
EPSG,32650,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),50,Hemisphere,N,Override,Off,,
EPSG,32651,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),51,Hemisphere,N,Override,Off,,
EPSG,32652,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),52,Hemisphere,N,Override,Off,,
EPSG,32653,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),53,Hemisphere,N,Override,Off,,
EPSG,32654,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),54,Hemisphere,N,Override,Off,,
EPSG,32655,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),55,Hemisphere,N,Override,Off,,
EPSG,32656,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),56,Hemisphere,N,Override,Off,,
EPSG,32657,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),57,Hemisphere,N,Override,Off,,
EPSG,32658,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),58,Hemisphere,N,Override,Off,,
EPSG,32659,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),59,Hemisphere,N,Override,Off,,
EPSG,32660,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),60,Hemisphere,N,Override,Off,,
EPSG,32701,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),1,Hemisphere,S,Override,Off,,
EPSG,32702,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),2,Hemisphere,S,Override,Off,,
EPSG,32703,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),3,Hemisphere,S,Override,Off,,
EPSG,32704,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),4,Hemisphere,S,Override,Off,,
EPSG,32705,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),5,Hemisphere,S,Override,Off,,
EPSG,32706,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),6,Hemisphere,S,Override,Off,,
EPSG,32707,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),7,Hemisphere,S,Override,Off,,
EPSG,32708,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),8,Hemisphere,S,Override,Off,,
EPSG,32709,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),9,Hemisphere,S,Override,Off,,
EPSG,32710,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),10,Hemisphere,S,Override,Off,,
EPSG,32711,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),11,Hemisphere,S,Override,Off,,
EPSG,32712,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),12,Hemisphere,S,Override,Off,,
EPSG,32713,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),13,Hemisphere,S,Override,Off,,
EPSG,32714,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),14,Hemisphere,S,Override,Off,,
EPSG,32715,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),15,Hemisphere,S,Override,Off,,
EPSG,32716,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),16,Hemisphere,S,Override,Off,,
EPSG,32717,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),17,Hemisphere,S,Override,Off,,
EPSG,32718,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),18,Hemisphere,S,Override,Off,,
EPSG,32719,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),19,Hemisphere,S,Override,Off,,
EPSG,32720,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),20,Hemisphere,S,Override,Off,,
EPSG,32721,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),21,Hemisphere,S,Override,Off,,
EPSG,32722,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),22,Hemisphere,S,Override,Off,,
EPSG,32723,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),23,Hemisphere,S,Override,Off,,
EPSG,32724,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),24,Hemisphere,S,Override,Off,,
EPSG,32725,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),25,Hemisphere,S,Override,Off,,
EPSG,32726,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),26,Hemisphere,S,Override,Off,,
EPSG,32727,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),27,Hemisphere,S,Override,Off,,
EPSG,32728,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),28,Hemisphere,S,Override,Off,,
EPSG,32729,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),29,Hemisphere,S,Override,Off,,
EPSG,32730,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),30,Hemisphere,S,Override,Off,,
EPSG,32731,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),31,Hemisphere,S,Override,Off,,
EPSG,32732,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),32,Hemisphere,S,Override,Off,,
EPSG,32733,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),33,Hemisphere,S,Override,Off,,
EPSG,32734,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),34,Hemisphere,S,Override,Off,,
EPSG,32735,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),35,Hemisphere,S,Override,Off,,
EPSG,32736,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),36,Hemisphere,S,Override,Off,,
EPSG,32737,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),37,Hemisphere,S,Override,Off,,
EPSG,32738,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),38,Hemisphere,S,Override,Off,,
EPSG,32739,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),39,Hemisphere,S,Override,Off,,
EPSG,32740,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),40,Hemisphere,S,Override,Off,,
EPSG,32741,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),41,Hemisphere,S,Override,Off,,
EPSG,32742,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),42,Hemisphere,S,Override,Off,,
